College Code,College Name,District,Type,EIIN,Address
2340,QADIRABAD CANTONMENT SAPPER COLLEGE,NATORE,Non Govt.,123887,DAYARAMPUR
2341,RAHIM UDDIN AHMED MEMORIAL COLLEGE,NATORE,Non Govt.,124314,SINGRA
2342,BANGABANDHU SHAIKH MUJIB COLLEGE,NATORE,Non Govt.,124244,CHATNI
2343,CHAMARI DEGREE COLLEGE,NATORE,Non Govt.,124311,CHAMARI
2344,JAHANARA & LATIFAR RAHMAN SPECIAL EDUCATION TEACHER'S TRAINING COLLEGE,NATORE,Non Govt.,,"Mohorkaya, Bilmaria"
2601,NAWABGANJ GOVT. COLLEGE,NAWABGONJ,Govt.,124593,CHPAINAWABGANJ
2602,SHAH NEAMATULLAH COLLEGE,NAWABGONJ,Non Govt.,124592,CHAPAI NAWABGONJ
2603,CHAPAI NAWABGANJ MAHILA COLLEGE,NAWABGONJ,Govt.,124594,KATHAL BAGICHA
2604,NACHOLE GOVT. COLLEGE,NAWABGONJ,Govt.,124485,NACHOLE
2605,ADINA FAZLUL HAQUE GOVT. COLLEGE,NAWABGONJ,Govt.,124743,SHIBGONJ
2606,BINODPUR COLLEGE,NAWABGONJ,Non Govt.,124746,"BINODPUR, SHIBGONJ"
2607,SHIBGANJ MAHILA COLLEGE,NAWABGONJ,Non Govt.,124742,"COLLEGE ROAD, SHIBGANJ"
2608,KANSAT SOLEMAN COLLEGE,NAWABGONJ,Non Govt.,124744,KANSAT
2609,SHIBGANJ COLLEGE,NAWABGONJ,Non Govt.,124741,SHIBGONJ
2610,KRISHNA GOBINDAPUR COLLEGE,NAWABGONJ,Non Govt.,124600,RAMCHANDRAPUR HAT
2611,ALLAHBAKSH MEMORIAL COLLEGE,NAWABGONJ,Non Govt.,124737,SATRAJITPUR
2612,ROHANPUR YUSUF ALI GOVT. COLLEGE,NAWABGONJ,Govt.,124418,ROHANPUR
2613,MAHIPUR COLLEGE,NAWABGONJ,Non Govt.,124597,"MAHIPUR, MAHIPUR"
2614,GOMOSTAPUR SOLEMAN MIAH COLLEGE,NAWABGONJ,Non Govt.,124420,GOMASTAPUR
2615,BHOLAHAT MOHBULLAH DEGREE COLLEGE,NAWABGONJ,Non Govt.,124347,SANNASITALA
2616,SHAHBAJPUR SONAMASHJID DEGREE COLLEGE,NAWABGONJ,Non Govt.,124740,SHAHBAJPUR
2617,BALUGRAM ADORSHA COLLEGE,NAWABGONJ,Non Govt.,124598,BALUGRAM
2618,BIRSHERSTHA CAPTAIN MOHIUDDIN JAHANGIR DEGREE COLLEGE,NAWABGONJ,Non Govt.,124749,SONAMOSJID
2619,BHOLAHAT GOVT. MOHILA COLLEGE,NAWABGONJ,Govt.,124348,BHOLAHAT
2620,RADHAKANTAPUR COLLEGE,NAWABGONJ,Non Govt.,124747,SHIBGANJ
