orgid,approved_url
3841297,https://slc.uod.ac.in/index.php/site/login
3841353,https://umcl-cloud.in/StudentPortal/Login.aspx
3841354,https://sndt.samarth.edu.in/index.php/site/login
3841777,https://sis.jntuhceh.ac.in/student/login
3841778,https://vlits.online/exam/student_login.php
3842019,https://vjec.linways.com/student/
3842156,https://coe.vsbec.edu.in/students/
3842322,https://epay.wmocollege.ac.in/
3842662,https://dbrau.samarth.edu.in/index.php/site/login
3842900,https://slc.uod.ac.in/index.php/site/login
3843065,https://avcollege.samarth.edu.in/index.php/site/login
3843151,https://online.vtu.ac.in/auth/login
3843151,https://vtu.internyet.in/sign-in
3843334,https://bborooahcollege.as.samarth.edu.in/index.php/site/login
3844340,https://campusmoodle.unipune.ac.in/login/index.php
3844340,https://eclm.unipune.ac.in/login.aspx
3844340,https://erp.moderncoe.edu.in/login.aspx
3844340,https://sim.unipune.ac.in/sim_app/Login/Login
3844340,https://sol.unipune.ac.in/login/login/studentlogin
3845234,https://student.pcte.edu.in/login
3845629,https://purneauniversityadm.samarth.edu.in/index.php/site/login
3845976,https://exam.swamivivekanandauniversity.ac.in/student/login
3846120,https://onlinerksmvv.in/lms/studentlogin/
3847008,https://secv4.linways.com/ams/student/login
3847194,https://leapshc.org:8443/Student/
3847730,https://mu.samarth.edu.in/index.php/site/login
3847878,https://www.wctmgurgaon.com/lms/
3847981,https://gurugramuniversity.samarth.edu.in/index.php/site/login
4545016,https://aktu.samarth.edu.in/index.php/site/login
4545302,https://msubaroda.samarth.edu.in/index.php/site/login
4545862,https://gtu.samarth.edu.in/index.php/site/login
4548196,https://dbatu.samarth.edu.in/index.php/site/login
4548196,https://online.msbte.co.in/msbte25/auth/sign-in?master=Candidate
4548545,https://coe.annauniv.edu/home/
4548545,https://cuic.annauniv.edu/login/student
4548545,https://erp.svce.ac.in/iitmsv4eGq0RuNHb0G5WbhLmTKLmTO7YBcJ4RHuXxCNPvuIw=?enc=EGbCGWnlHNJ/WdgJnKH8DA==
4548545,https://onlineservices.annauniv.edu/pages/login.php
4549094,https://erp.dypakurdipune.edu.in/login.htm
