orgId,portal,tnc
3846029,https://examerp.utkaluniversity.ac.in/iitmsv4eGq0RuNHb0G5WbhLmTKLmTO7YBcJ4RHuXxCNPvuIw=?enc=EGbCGWnlHNJ/WdgJnKH8DA==,https://www.iitms.co.in/privacy-policy/
3846029,https://examerp.utkaluniversity.ac.in/iitmsv4eGq0RuNHb0G5WbhLmTKLmTO7YBcJ4RHuXxCNPvuIw=?enc=EGbCGWnlHNJ/WdgJnKH8DA==,https://www.iitms.co.in/terms-and-conditions/
3846029,https://studentpanel.ddceutkal.ac.in/,https://ddceutkal.ac.in/downloads/terms-and-conditions.pdf
3846380,https://mu.samarth.edu.in/index.php/site/login,https://samarth.edu.in/website-policies/
3846380,https://mum.digitaluniversity.ac/login,https://mkcl.org/privacy-policy/
4546162,https://ipu.samarth.ac.in/index.php/site/login,https://www.ipu.ac.in/disclaimer.php
4548852,https://rtmnuoaadm.samarth.edu.in/index.php/site/login,https://samarth.edu.in/terms-and-conditions/
4548852,https://rtmnuoaadm.samarth.edu.in/index.php/site/login,https://samarth.edu.in/website-policies/
4637109,https://ims.drmgrdu.ac.in/client/login,https://drmgrdu.ac.in/privacy-policy/
4637135,https://ignou.samarth.edu.in/index.php/site/login,https://samarth.edu.in/terms-and-conditions/
4637135,https://ignou.samarth.edu.in/index.php/site/login,https://samarth.edu.in/website-policies/
4777594,https://sol.unipune.ac.in/Login/Login/StudentLogin,https://unipune.ac.in/university_files/copyright.htm
4814877,https://knruhs.uonex.in/,https://www.knruhs.telangana.gov.in/terms-conditions/
4814877,https://www.knruhs.telangana.gov.in/dashboard/,https://www.knruhs.telangana.gov.in/terms-conditions/
4832801,https://ignou.samarth.edu.in/index.php/site/login,https://samarth.edu.in/website-policies/
5441233,https://knruhs.uonex.in/,https://www.knruhs.telangana.gov.in/terms-conditions/
5441233,https://www.knruhs.telangana.gov.in/dashboard/,https://www.knruhs.telangana.gov.in/terms-conditions/
5877856,https://iums.rajuvas.ac.in/,https://rajuvas.ac.in/privacy-policy/
5879031,https://makaut1.ucanapply.com/smartexam/public/,https://ucanapply.com/terms.html
5967986,https://examforms.kuk.ac.in/KukHome/LogIn.aspx,https://examforms.kuk.ac.in/KukTermCondition.aspx
6799754,https://student.gtu.ac.in/,https://samarth.edu.in/terms-and-conditions/
6805479,https://cetug.puchd.ac.in/login.php,https://cetug.puchd.ac.in/copyright
6805479,https://ugexam.puexam.in/Login.aspx?Status=CU,https://puchd.ac.in/show-disclaimer.php
6805776,https://studentzone-ngasce.nmims.edu/,https://nmims.edu/disclaimer
7116550,https://admission.msubaroda.ac.in/vidhyarthi/#/login,https://msubaroda.ac.in/Website_Policy
7577599,https://mpsuerp.in/mpsu-student-portal/,https://mpsuerp.in/mpsu-student-portal/privacy.html
7577599,https://mpsuerp.in/mpsu-student-portal/,https://mpsuerp.in/mpsu-student-portal/tnc.html
7585503,https://mu.samarth.edu.in/index.php/site/login,https://samarth.edu.in/terms-and-conditions/
